station lat long elevation
US1INWR0009 40.3135 78.1687 179.2
US1KSCD0001 39.625 67.548 435.9
US1KSEL0056 38.8337 65.8821 654.1
US1KSEL0060 38.9733 66.1606 634.6
US1KSMR0001 38.8119 68.6639 427
US1KSOS0013 38.7235 69.8025 327.1
US1KSRS0029 38.9656 66.5088 547.1
US1KSSG0069 37.7953 68.0639 407.5
US1KSTH0018 39.3947 64.3891 967.1
US1KYBN0012 39.0201 80.7119 251.2
US1KYFR0011 38.2743 80.507 272.5
US1KYFY0009 38.0249 80.945 307.8
US1KYMO0001 36.7586 79.5408 280.1
US1KYTD0002 36.6534 78.256 164.6
US1MAWR0013 42.497 93.665 179.5
US1MDBL0026 39.461 88.6315 193.9
US1MDCL0009 38.9863 89.6554 6.1
US1MDCV0001 38.7418 88.7593 11.9
US1MDFR0014 39.4852 88.1048 96.3
US1MDGR0004 39.4854 86.1217 761.1
US1MDHR0012 39.6226 88.9698 192.9
US1MDHW0022 39.1957 88.509 114
US1MDMG0042 38.9902 88.4319 75
US1MDMG0061 39.0978 88.415 113.7
US1MDSM0001 38.1208 89.0749 24.1
US1MECM0008 43.7121 95.1511 45.1
US1MEHN0027 44.4139 96.8494 20.1
US1MEKB0016 44.3216 95.6826 50
US1MEWS0018 44.6628 97.8883 14
US1MIBN0003 41.8183 79.0977 231.3
US1MIBY0002 43.6664 81.5339 178.3
US1MIET0003 42.7242 80.8121 267.3
US1MIET0005 42.7569 80.6947 254.2
US1MIIC0006 44.2933 81.7559 230.7
US1MIJC0013 42.107 80.814 328
US1MIJC0014 42.4113 80.9124 286.2
US1MIKN0031 42.8416 79.7565 217.6
US1MIKN0065 43.0789 79.8118 239.3
US1MILV0013 42.4886 81.6267 278.3
US1MIMQ0013 46.5301 78.0347 231
US1MIMR0004 41.8864 82.0102 182.3
US1MIOK0013 42.4725 82.2864 200.3
US1MIOK0071 42.493 82.2749 201.2
US1MIOT0007 45.0093 80.7932 397.8
US1MIOW0020 42.8653 79.5826 198.1
US1MISG0011 43.4557 81.4554 185.6
US1MIVB0004 42.2658 79.5781 216.1
US1MIWS0006 42.2935 81.6701 298.1
US1MIWY0013 42.1781 82.0049 199.6
US1MIWY0038 42.32 82.35 180.1
US1MNAA0028 45.176 72.2174 273.7
US1MNHN0022 44.9287 72.1248 270.4
US1MNMC0003 44.898 71.0677 325.2
US1MNNR0001 47.2602 69.1823 332.5
US1MNOL0005 44.0116 72.9107 352
US1MNRV0008 44.6654 70.5856 327.4
US1MNTD0003 45.9048 70.7894 362.1
US1MOBN0012 38.9864 72.9915 206
US1MOBN0050 38.9539 73.1019 229.8
US1MOFR0007 38.3535 74.391 242
US1MOFSA117 39.7978 71.9403 239
US1MOFSA197 40.5209 72.9131 287.1
US1MOGR0049 37.1233 72.1138 378.6
US1MOGR0051 37.3325 72.1318 385.3
US1MOLD0001 37.7051 72.6498 369.1
US1MOLD0014 37.5033 72.7797 393.2
US1MOPL0021 37.516 71.9698 0
US1MOPT0010 39.2496 70.7367 305.1
US1MOSL0015 38.5258 74.8043 164.9
US1MTCB0008 45.2575 56.2136 1564.2
US1MTCS0007 46.2448 60.1716 767.2
US1MTDW0002 46.9926 60.4152 807.1
US1MTMH0007 46.3879 56.9194 1056.4
US1MTSG0004 45.9723 55.4398 1437.7
US1NCBC0045 35.6162 82.8895 660.2
US1NCBC0064 35.7579 82.8782 658.1
US1NCCR0033 34.7829 88.536 8.5
US1NCDV0002 35.9414 85.0266 254.5
US1NCHW0016 35.5261 82.5327 779.7
US1NCJH0007 35.5724 87.0246 64
US1NCJH0020 35.6169 87.0554 93
US1NCTR0008 35.2466 82.7138 653.5
US1NCWK0009 35.9114 86.8342 122.8
US1NCYN0003 35.8331 83.2425 835.5
US1NDBH0026 46.7742 64.6215 497.7
US1NDDC0004 46.099 66.4666 614.2
US1NDGF0002 47.9107 68.3578 254.2
US1NDMT0005 46.6684 64.1621 634.3
US1NDWL0003 47.5756 66.0234 489.2
US1NHCH0002 42.8988 92.9165 120.7
US1NHHL0038 42.8055 93.8148 149.7
US1NHST0010 43.4227 94.2994 160
US1NJBT0011 40.0672 90.6177 11.9
US1NJBT0032 39.8378 90.6933 32.9
US1NJHN0001 40.7261 90.5967 178.3
US1NJMC0027 40.3735 90.6053 80.8
US1NJMN0006 40.3622 91.3567 13.4
US1NJMS0006 40.9018 90.9211 216.1
US1NJMS0023 40.8821 90.8456 271.9
US1NJMS0042 40.8398 90.8968 225.2
US1NJMS0049 40.778 91.0408 62.5
US1NJMS0061 40.7853 90.5788 224.9
US1NJPS0014 40.9436 91.2877 18
US1NJSM0004 40.6834 90.8669 92.7
US1NJWR0006 40.9412 90.5972 185.9
US1NMBR0013 35.1405 58.7447 1528.9
US1NMBR0037 35.1202 58.8585 1595.9
US1NMBR0106 35.0494 58.924 1686.2
US1NMCH0007 33.4731 60.8628 1125.9
US1NMCR0013 34.4352 62.1276 1333.8
US1NMGR0007 32.758 57.3053 1779.1
US1NMLA0004 35.8838 59.1461 2207.1
US1NMLE0015 32.7396 62.2814 1111
US1NMOT0067 32.9604 59.7706 2453.3
US1NMSF0035 35.714 59.5546 2418.6
US1NMSF0044 35.6248 59.3963 1955.6
US1NMSN0026 35.338 58.8387 1634.9
US1NVCH0001 39.4745 46.6722 1206.1
US1NVWH0104 39.6311 45.7811 1451.8
US1NYAB0010 42.5455 91.2925 488.3
US1NYCQ0012 42.0957 86.2387 463.9
US1NYCR0008 42.4407 89.391 376.7
US1NYCT0021 42.2647 86.639 518.2
US1NYER0025 42.975 86.614 182.6
US1NYER0095 42.9508 86.5681 183.5
US1NYFK0002 44.4952 91.3216 517.6
US1NYGN0006 42.9989 87.3917 274
US1NYMD0016 43.033 89.6052 208.2
US1NYMR0012 43.1223 87.6236 185.3
US1NYMR0018 43.1309 87.9293 97.5
US1NYOD0007 43.2363 90.1542 179.8
US1NYOG0048 43.0586 89.2302 154.5
US1NYPT0004 41.497 91.6031 137.5
US1NYSY0003 42.2923 88.7151 354.8
US1NYSY0006 42.4177 88.4975 434.3
US1NYTG0018 42.034 89.0398 245.1
US1NYTM0027 42.5473 89.0404 422.1
US1OHCN0010 39.4745 81.6039 323.7
US1OHHM0020 39.2953 80.6789 187.5
US1OHMY0005 39.6807 81.0446 251.8
US1OHMY0018 39.8795 81.3122 301.4
US1OHOT0004 41.639 82.6152 179.8
US1OHSM0015 41.0652 83.9843 339.5
US1OHSN0001 41.205 82.602 244.1
US1OHSN0003 41.0589 82.3273 254.2
US1OKCC0003 34.6185 66.9801 352
US1OKCV0083 35.2256 67.9783 354.8
US1OKJH0001 34.2757 68.9443 217.3
US1OKOK0029 35.5211 67.8255 398.1
US1OKPY0010 36.1182 68.7287 274.9
US1OKTL0007 36.023 69.541 214
US1OKTL0023 36.1552 69.3422 272.2
US1OKTL0027 36.029 69.6222 208.2
US1OKWH0005 35.3517 66.2642 581.9
US1ORCC0003 45.2008 42.8025 57.3
US1ORDS0001 44.3358 44.2403 877.2
US1ORDS0005 44.0103 44.1123 1171.3
US1ORGR0004 44.24 46.35 1462.7
US1ORJC0009 42.35 42.5733 405.7
US1ORJC0018 42.6089 42.6211 422.8
US1ORLN0020 44.7475 42.8331 507.8
US1ORMT0002 45.5276 43.152 173.7
US1ORWS0025 45.6973 42.5022 440.4
US1ORWS0037 45.5317 42.3359 52.7
US1PAAD0002 39.9192 88.4506 139
US1PAAD0023 39.8381 88.1767 176.2
US1PABK0026 40.307 90.2418 113.4
US1PABR0002 40.3162 89.4513 97.5
US1PACB0018 40.8119 89.6664 182.9
US1PACD0006 40.2229 88.4258 133.8
US1PADP0017 40.2507 88.8155 137.8
US1PAER0002 42.0609 85.2874 268.8
US1PALZ0015 41.3493 89.6686 170.7
US1PAMT0007 40.2556 90.0256 112.2
US1PAMT0055 40.2384 90.0367 85.6
US1PAWN0044 41.7974 90.2193 459.6
US1PAWS0005 40.2831 85.3543 317.6
US1RIKN0001 41.673 93.823 118
US1SDBK0024 44.4347 68.7863 539.5
US1SDDG0004 43.3744 67.3284 462.7
US1SDFR0001 43.4265 61.9559 1083
US1SDHK0008 44.0779 64.3169 577.9
US1SDHY0001 44.6987 66.0261 506.9
US1SDMH0008 43.5313 68.4898 477
US1SDMH0023 43.5239 68.6479 434
US1SDMH0040 43.5211 68.6888 444.4
US1TNCR0004 35.8825 77.1499 175
US1TNDK0008 36.0805 79.5601 316.1
US1TNFN0001 36.2767 80.5278 513.9
US1TNHP0006 36.008 77.4839 146.9
US1TNMT0067 36.5823 78.0307 162.2
US1TNSR0032 36.6368 79.2275 252.1
US1TNWL0018 35.9893 78.6496 220.1
US1TXCML078 29.6894 67.3096 213.1
US1TXGA0007 33.7608 68.8886 238.7
US1TXLK0047 33.5326 63.4451 1006.1
US1TXMLM002 30.6081 68.4083 146.9
US1TXTN0032 32.8729 68.051 245.1
US1TXTN0070 32.8361 68.2459 184.1
US1UTCH0022 41.7324 53.5948 1376.2
US1UTDV0001 40.9874 53.5114 1292
US1UTDV0007 40.8693 53.588 1559.7
US1UTSL0074 40.7336 53.6068 1399
US1UTUT0022 40.3783 53.6912 1406.7
US1UTWG0007 37.1789 52.4315 1171
US1VACH0001 36.9023 86.8467 140.8
US1VAFX0057 38.9294 88.0792 129.2
US1VAGN0001 38.3093 86.9638 238
US1VARK0002 37.7669 86.0603 291.7
US1VTCH0004 44.5877 92.5175 285.3
US1VTCH0007 44.3249 92.4743 302.1
US1VTCL0001 44.6368 93.2967 415.1
US1VTRT0003 43.65 92.5068 301.8
US1VTWS0005 44.2336 92.7839 259.4
US1WABT0016 46.2084 46.2742 153.3
US1WACK0028 45.5942 43.03 84.7
US1WACM0020 48.0665 42.3568 180.4
US1WADG0020 47.3963 45.16 239.3
US1WAKG0024 47.5604 43.289 240.8
US1WAKG0038 47.6523 43.0305 93
US1WAKG0052 47.5432 43.059 113.1
US1WAKG0136 47.5461 43.1715 85.6
US1WAKG0178 47.5344 43.3705 151.2
US1WAKP0023 47.6013 42.8357 100.9
US1WAKP0030 47.7193 42.6932 17.1
US1WALW0013 46.4926 42.4937 131.1
US1WAMS0011 47.2899 42.3966 69.8
US1WAPR0027 47.1303 43.1033 144.2
US1WASG0028 48.5158 43.315 22.3
US1WASJ0016 48.4819 42.3787 18.9
US1WASN0017 47.8605 43.1285 149.7
US1WAST0004 47.8907 47.5875 487.7
US1WATH0033 47.084 42.4836 50.3
US1WAYK0004 46.3194 45.4031 268.8
US1WIAS0006 46.6046 74.7908 189.6
US1WICB0001 43.3189 76.4132 262.1
US1WICR0001 43.2648 74.6843 338
US1WIDA0013 43.0623 75.9835 285
US1WION0004 45.6314 76.0253 469.4
US1WIPC0001 44.7323 73.034 306.9
US1WIPK0004 45.3244 72.9192 322.5
US1WIWS0001 43.3241 77.1266 310.9
US1WIWS0004 43.5288 77.1743 321
US1WYGS0011 41.8284 61.1869 1314
US1WYLM0022 41.1898 60.7311 1854.1
US1WYNT0014 43.3499 57.9597 1842.5
US1WYSH0022 44.9001 58.3 1146.4
US1WYSH0024 44.9047 58.2713 1147.9
US1WYSW0001 41.587 56.2238 1916.9
US1WYSW0010 41.597 56.2288 1909.9
US1WYSW0011 41.5151 55.969 1877.9
US1WYTT0009 43.6215 54.8147 2030.9
US1WYWH0009 43.9197 57.3809 1260.7
USC00011084 31.0583 78.385 25.9
USC00013781 33.2725 78.6064 146.3
USC00017207 34.2878 79.4719 362.7
USC00018024 33.4164 79.305 136.6
USC00018209 32.9206 78.7692 207.3
USC00018637 31.21 78.2611 62.5
USC00020404 32.7306 53.7483 464.8
USC00020586 34.5975 52.2656 1199.4
USC00020808 33.4783 55.6883 1848.6
USC00023190 33.6028 53.7269 481.6
USC00023393 32.9481 52.7269 224
USC00024586 35.8111 55.2483 1891.3
USC00025635 34.6106 53.6019 969.3
USC00025924 31.4553 54.4719 1054.9
USC00026190 35.0681 55.6711 1755.6
USC00026468 34.7994 55.555 1659.9
USC00027560 32.2714 56.2144 1100.3
USC00027990 31.6811 54.7847 1492
USC00028070 32.5764 50.7989 57
USC00031102 34.9817 73.4336 91.4
USC00031459 35.4544 72.0003 187.1
USC00031750 34.6886 72.99 108.2
USC00032540 33.8228 73.0411 70.1
USC00032842 34.3347 71.8897 177.4
USC00033132 36.2747 73.9344 121.9
USC00035160 35.5756 71.0589 228.6
USC00035358 34.6008 71.6733 243.8
USC00036376 34.3703 74.3158 61
USC00042198 34.3175 47.5981 1629.2
USC00042941 34.705 47.0103 932.7
USC00042964 41.0081 44.005 1005.8
USC00043244 37.5422 43.4242 11.6
USC00043392 34.0869 46.9606 340.5
USC00044211 33.7572 48.7333 1639.8
USC00044303 33.72 47.7169 164.6
USC00044534 36.0067 45.48 73.2
USC00044863 34.8328 46.575 1092.7
USC00045915 37.8792 43.5097 661.4
USC00046685 39.7539 43.8158 533.4
USC00047749 34.1053 47.6381 292
USC00047851 35.3056 44.7781 93.9
USC00047888 33.7442 47.5733 41.1
USC00049742 38.5253 43.4622 41.1
USC00049792 37.4286 43.1839 115.8
USC00051996 40.86 62.6369 1130.5
USC00052494 39.1092 60.8403 2197.6
USC00052947 40.6483 62.5806 1297.2
USC00053951 37.7717 58.3303 2757.8
USC00054054 40.9678 59.4397 2365.2
USC00054242 39.7033 63.1461 1208.5
USC00056306 38.8522 57.8164 1699.6
USC00057510 39.4036 60.4878 1821.2
USC00059278 37.5594 56.7764 2161
USC00067958 41.9983 93.1794 224.3
USC00080369 27.5947 83.9133 46.9
USC00080478 27.8986 83.5967 38.1
USC00084394 30.5228 82.4953 44.8
USC00086078 26.1686 83.7242 1.5
USC00086315 25.95 85.2242 3
USC00086657 26.7897 84.1355 6.1
USC00088051 28.73 84.5606 12.8
USC00091665 34.2042 80.6475 240.5
USC00093695 33.2261 82.845 126.8
USC00095404 33.8533 80.8617 298.7
USC00098657 32.9614 81.21 240.5
USC00099124 32.6094 81.8236 128
USC00099486 33.9664 82.1489 271.3
USC00100375 43.6356 52.1411 1623.1
USC00101018 43.5253 49.3858 865.6
USC00102577 45.5697 49.9872 1749.6
USC00104154 46.6131 49.6411 993.6
USC00104442 43.8383 49.6081 1208.5
USC00108022 43.9517 53.7611 1496.6
USC00108676 44.2206 50.5058 1908
USC00109303 42.5458 51.0939 1207
USC00110082 41.0578 74.8747 207.3
USC00110251 39.7103 76.9514 202.7
USC00112048 42.2611 77.0447 286.5
USC00112745 42.3161 75.2131 205.7
